model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,1,0.4484,nyc-taxi-green-dec-2016,1G,2,1.3798470792826265
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,2,0.4484,nyc-taxi-green-dec-2016,1G,2,1.3816710002720356
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,1,0.88685,nyc-taxi-green-dec-2016,1G,2,1.4069314853598673
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,2,0.88685,nyc-taxi-green-dec-2016,1G,2,1.4327235917250316
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,1,1.3253,nyc-taxi-green-dec-2016,1G,2,1.397216548056652
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,2,1.3253,nyc-taxi-green-dec-2016,1G,2,1.2914077030339588
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,1,1.76375,nyc-taxi-green-dec-2016,1G,2,1.2340622070866327
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,2,1.76375,nyc-taxi-green-dec-2016,1G,2,1.1547805600178738
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,1,2.2022,nyc-taxi-green-dec-2016,1G,2,1.0237108110450208
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,2,2.2022,nyc-taxi-green-dec-2016,1G,2,0.9390675235384455
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,1,2.64065,nyc-taxi-green-dec-2016,1G,2,1.0569880589998017
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,2,2.64065,nyc-taxi-green-dec-2016,1G,2,0.9171734054107219
